player,rating,RD,vol,Total Pool Matches,Pool Touche Index,Total DE Matches,DE Touche Index
ABELLA HANNIEL,1685.8403848075752,60.45605019934245,0.05994566009811205,27.0,2.3703703703703702,19.0,3.6842105263157894
ALARCON BEVERLY GAY,1391.1789768001172,153.24952665753528,0.05999763481287714,5.0,-2.2,0.0,
ALPUERTO PARIS,1240.333965929615,193.5342760660586,0.05999951960297835,5.0,-3.6,0.0,
ASIS JUZ LOVAINE,1497.9679257220823,138.4667279629868,0.059997197207682006,5.0,-0.6,1.0,-4.0
BACCAY MARTINA JENE,1495.3011341819413,99.70725869609143,0.05998745957667424,11.0,0.36363636363636365,2.0,-8.5
BALLESTEROS JULIANNA,1632.3655876559162,158.62107485353064,0.05999783407636752,4.0,3.0,3.0,0.6666666666666666
BARCELLANO JAMAICA,1264.342943279668,154.26838594605857,0.05999882724764927,5.0,-4.0,0.0,
BARRIENTOS ANDREA,1363.26985280128,101.4917751477088,0.059984124168254264,15.0,-1.9333333333333333,1.0,-12.0
BELEN FRANCES CAMILLE,1479.8749451661558,153.28430630845648,0.059997325205258425,5.0,0.2,1.0,-13.0
BERNABE FRANCESCA BETTINA,1452.4488096727976,152.50276818824517,0.05999736902211227,5.0,-0.4,2.0,-2.5
BUENO MARIA KRISTINA ANGELA,1500.7808881270148,84.1465921857879,0.05997555760204231,16.0,-0.3125,5.0,-2.8
BUSTOS MICKYLE REIN,1578.491365076893,68.11266292827217,0.05995633806347084,24.0,0.9583333333333334,11.0,0.9090909090909091
CANELA BEATRICE ISABELA,1348.459090498129,165.12733556646617,0.05999803866793063,4.0,-3.25,0.0,
CANLAS NINA DOMINIQUE,1619.5506350559604,71.35899783726904,0.059956747206697726,24.0,1.9166666666666667,10.0,0.1
CAPINA MIYAKE,1491.674538065096,100.46596989244917,0.05998870573328024,11.0,-0.36363636363636365,2.0,-4.5
CAPUNO DAHLIA MAE,1421.4994245427042,138.27049543759318,0.05999736259663193,6.0,-1.0,2.0,-2.5
CARIG SOPHIA,1499.9606237307653,131.03319900718415,0.05999714281468922,6.0,-0.6666666666666666,1.0,-6.0
DEL ROSARIO SARINA KELLY,1399.4862273606748,86.00757830669374,0.059983390250256,21.0,-1.2857142857142858,2.0,-10.0
DELA CRUZ CHIARA MICHAELA,1430.104118760622,89.51892872084693,0.059985661539463365,20.0,-1.2,2.0,-6.5
DELOS SANTOS JAYMI,1599.628224293822,66.69099283220348,0.05995158585729447,23.0,1.2173913043478262,14.0,1.5714285714285714
DINOY IVY CLAIRE,1713.854054890025,65.32396503078735,0.05995970468108093,25.0,2.68,16.0,4.875
EDNILAG KRUPS KAYA,1642.063868207702,85.13155316468446,0.05998386290530642,14.0,1.6428571428571428,8.0,0.875
EDNILAG KRUPSKAYA,1494.7517811366747,97.79035786733601,0.0599870320138972,10.0,-0.3,4.0,-2.75
ESPIRITU ISABELLE TONIGRACE,1330.7356097441882,101.00384645625343,0.05998432130972259,16.0,-2.75,0.0,
FELICIANO SUMMER LUCINE,1346.2256692559113,88.19346799574242,0.05997603966631931,20.0,-1.75,3.0,-6.666666666666667
FLORES MARIEL ELIANNE,1504.799304103767,87.44461555385593,0.05997899282166,15.0,0.06666666666666667,4.0,-3.0
FLORES MARIEL ELIANNE FRANCESCA,1551.1299240186138,131.96646409039553,0.05999722029985961,5.0,0.4,2.0,0.0
GEPUELA CATHERINE THERESE,1404.0384558612495,103.07687699440882,0.05998580687033668,14.0,-1.6428571428571428,3.0,-4.0
GOMEZ JULIANA MA. BEATRICE,1679.905412831046,63.665822652281825,0.05994732764347957,23.0,2.391304347826087,18.0,3.0
HARRISON ASHLEY MAE MICHELLE,1676.8228057800325,66.33010776369649,0.05994886889626476,26.0,2.576923076923077,17.0,2.823529411764706
JIMENEZ JULIANNA,1369.9123214132865,95.58238093541787,0.059982761818006165,17.0,-1.588235294117647,1.0,-10.0
JUNIA ELEINA MARGUERITE,1423.9104133563021,73.51656451157068,0.0599570742826876,26.0,-1.0384615384615385,5.0,-7.4
LARRAZABAL ALEXA,1725.7641772714267,60.88819249036642,0.059938726667082075,28.0,2.857142857142857,23.0,6.0
LOPEZ ALTHEA SOPHIA,1412.7554506782171,152.0850404684651,0.05999751055102092,5.0,-1.4,1.0,-3.0
MANAOIS IRISH,1492.1864061650863,80.99895642598996,0.059970458429043895,20.0,-0.3,4.0,-4.0
MANGULABNAN KIANA DOMINIQUE,1381.8391386508438,98.05447848310124,0.059981877580923194,16.0,-1.6875,1.0,-12.0
MARTINEZ TASHA ISABELLA,1503.7263621625154,85.86757852328614,0.05997702671001842,16.0,-0.1875,3.0,-5.333333333333333
MARZAN SHAMIKA REIZEL,1403.9224818473328,167.96279029986633,0.059997692120378227,4.0,-2.5,0.0,
MATIAS ANDREA JENNELLE,1605.1259830639656,64.73171549268669,0.05995248702408393,25.0,1.6,13.0,1.6923076923076923
MENDOZA JENNINA,1573.3951192323586,69.4118411033389,0.059956668888035324,26.0,0.6923076923076923,10.0,1.5
NORO NAMI,1500.0233171288155,74.03481965073877,0.05996266868400724,21.0,-0.09523809523809523,7.0,-1.2857142857142858
ONG JICKLE CLAIN,1489.821255781124,70.09622629806036,0.05996477835423595,27.0,-0.3333333333333333,6.0,-1.5
PALO AJ DREYFUS,1338.9202842267316,108.40688008461714,0.059986251052400456,14.0,-2.5714285714285716,1.0,-2.0
RAFAEL GAY MARIE,1388.7507835124939,75.59033421307385,0.05996171769751346,26.0,-1.8076923076923077,2.0,-8.5
RAFAEL RANA IMOGEN,1463.9077105259944,81.36826206095145,0.05997594213405211,21.0,-0.5238095238095238,3.0,-5.666666666666667
RAGOT MICHELLE,1307.2437670090183,128.5094259803375,0.059992460533830276,10.0,-2.8,0.0,
RAGOT MIKAELA NICOLE,1471.1053578676408,73.3447521922714,0.05995845660131577,25.0,-0.44,4.0,-5.5
RODRIGUEZ ELOUISE NOELLE,1204.8220530664435,171.3289557573259,0.05999983400902992,5.0,-4.8,0.0,
SALVADOR IVANA,1563.170868970425,67.65123441103017,0.05995865261036582,25.0,0.88,9.0,-0.4444444444444444
SANDOVAL JUSTA ANDREA,1489.408577639314,79.75186943737708,0.05996747743911822,20.0,-0.05,4.0,-3.75
SCHOFIELD CYRYLLE ANNE,1568.5442080347264,89.61733101194037,0.059979443825545334,16.0,1.6875,5.0,-2.4
SEVILLA JULIANA SHANE,1619.356738842922,127.72465717236587,0.05999750562356085,6.0,2.5,2.0,-1.0
SIA SARAH-INGRID AURELIA,1395.4929613607376,81.08936898385535,0.05996929180381455,22.0,-1.5454545454545454,3.0,-7.333333333333333
SYKAT ROBYN NOELLE,1509.5738302518446,76.75047728009933,0.05996497518607993,19.0,-0.47368421052631576,6.0,-2.8333333333333335
TAPALES ENDIRAJ MARGARET,1555.3666440035727,75.69202047742398,0.059969488103721394,22.0,0.6363636363636364,6.0,0.0
TORRE PAPINA MARGUERITE,1496.640421134609,71.01645533607928,0.059957625335532644,26.0,-0.2692307692307692,6.0,-6.0
TRINIDAD SOLANA MAYUMI,1548.5919880644376,75.67188438980682,0.05997176349903768,21.0,0.19047619047619047,8.0,-1.875
UY JANA ANNIKA,1483.3262513576037,73.00049011255821,0.059963757649675944,24.0,-1.0,5.0,-0.8
VELASCO ZOEY NICOLE,1271.0135186338653,130.27532996525954,0.05999301311616711,10.0,-3.3,0.0,
VERGARA CYRRA,1625.8776341030755,87.05300517982666,0.05997829240899003,13.0,1.8461538461538463,8.0,1.125
VILLAPANDO JHOLAN,1564.2936083437767,92.50767136928741,0.05998069889761793,16.0,1.0625,3.0,-2.0
